label,publish,labelclean,region,no_vertices,color_r,color_g,color_b,mni_avg_x,mni_avg_y,mni_avg_z,Acronyms,Name,RSN,shorthand
parsopercularis L,Pars Opercularis L,parsopercularisL,LF,139,0.862745098,0.705882353,0.549019608,-49.03946649,16.65752653,14.24483071,pOPER L,parsopercularis L,DAN,pOPERL
parsopercularis R,Pars Opercularis R,parsopercularisR,RF,118,0.862745098,0.705882353,0.549019608,48.71670002,16.78416866,13.51169668,pOPER R,parsopercularis R,DAN,pOPERR
parsorbitalis L,Pars Orbitalis L,parsorbitalisL,LPF,72,0.078431373,0.392156863,0.196078431,-44.44360569,39.38654042,-14.14185763,pORB L,parsorbitalis L,DAN,pORBL
parsorbitalis R,Pars Orbitalis R,parsorbitalisR,RPF,68,0.078431373,0.392156863,0.196078431,43.40268694,42.35954484,-14.52292028,pORB R,parsorbitalis R,DAN,pORBR
parstriangularis L,Pars Triangularis L,parstriangularisL,LF,101,0.862745098,0.235294118,0.078431373,-47.33446916,31.86217985,0.797021943,pTRI L,parstriangularis L,DAN,pTRIL
parstriangularis R,Pars Triangularis R,parstriangularisR,RF,148,0.862745098,0.235294118,0.078431373,47.89542142,33.68538211,1.740187547,pTRI R,parstriangularis R,DAN,pTRIR
pericalcarine L,Pericalcarine L,pericalcarineL,LO,109,0.470588235,0.392156863,0.235294118,-10.61966023,-81.76800254,5.525652852,periCAL L,pericalcarine L,other,periCALL
pericalcarine R,Pericalcarine R,pericalcarineR,RO,110,0.470588235,0.392156863,0.235294118,11.68981526,-80.17201335,6.952899412,periCAL R,pericalcarine R,other,periCALR
postcentral L,Postcentral L,postcentralL,LC,333,0.862745098,0.078431373,0.078431373,-45.80022755,-22.45623466,45.01462956,postC L,postcentral L,other,postCL
postcentral R,Postcentral R,postcentralR,RC,307,0.862745098,0.078431373,0.078431373,43.75794697,-20.28489574,46.21474526,postC R,postcentral R,other,postCR
posteriorcingulate L,Posteriorcingulate L,posteriorcingulateL,LL,85,0.862745098,0.705882353,0.862745098,-5.135518083,-15.06914101,38.21034144,PCC L,posteriorcingulate L,DMN,PCCL
posteriorcingulate R,Posteriorcingulate R,posteriorcingulateR,RL,93,0.862745098,0.705882353,0.862745098,5.073456817,-16.70049141,39.23004879,PCC R,posteriorcingulate R,DMN,PCCR
precentral L,Precentral L,precentralL,LC,339,0.235294118,0.078431373,0.862745098,-40.52230103,-9.455406982,46.04406984,preC L,precentral L,other,preCL
precentral R,Precentral R,precentralR,RC,353,0.235294118,0.078431373,0.862745098,40.19710605,-7.360544765,45.81849655,preC R,precentral R,other,preCR
precuneus L,Precuneus L,precuneusL,LP,314,0.62745098,0.549019608,0.705882353,-9.097383784,-59.48551434,37.61989446,PCUN L,precuneus L,DMN,PCUNL
precuneus R,Precuneus R,precuneusR,RP,325,0.62745098,0.549019608,0.705882353,9.594222782,-57.74741573,38.39015067,PCUN R,precuneus R,DMN,PCUNR
rostralanteriorcingulate L,Rostral Anterior Cingulate L,rostralanteriorcingulateL,LL,78,0.31372549,0.078431373,0.549019608,-4.571633164,39.23418572,1.080687962,rACC L,rostralanteriorcingulate L,DMN,rACCL
rostralanteriorcingulate R,Rostral Anterior Cingulate R,rostralanteriorcingulateR,RL,56,0.31372549,0.078431373,0.549019608,4.145604526,37.9307865,2.874655456,rACC R,rostralanteriorcingulate R,DMN,rACCR
rostralmiddlefrontal L,Rostral Middle Frontal L,rostralmiddlefrontalL,LF,543,0.294117647,0.196078431,0.490196078,-34.09391229,47.17612868,16.94516718,rMFG L,rostralmiddlefrontal L,SAN,rMFGL
rostralmiddlefrontal R,Rostral Middle Frontal R,rostralmiddlefrontalR,RF,551,0.294117647,0.196078431,0.490196078,34.22282861,48.18248485,17.04976001,rMFG R,rostralmiddlefrontal R,SAN,rMFGR
superiorfrontal L,Superior Frontal L,superiorfrontalL,LF,671,0.078431373,0.862745098,0.62745098,-11.54649123,29.75148874,41.30284262,sFG L,superiorfrontal L,other,sFGL
superiorfrontal R,Superior Frontal R,superiorfrontalR,RF,603,0.078431373,0.862745098,0.62745098,11.67214373,31.83083951,41.3379779,sFG R,superiorfrontal R,other,sFGR
superiorparietal L,Superior Parietal L,superiorparietalL,LP,484,0.078431373,0.705882353,0.549019608,-23.4800292,-65.15509987,49.87722236,SPL L,superiorparietal L,other,SPLL
superiorparietal R,Superior Parietal R,superiorparietalR,RP,464,0.078431373,0.705882353,0.549019608,23.64620419,-64.75907658,51.49919407,SPL R,superiorparietal R,other,SPLR
superiortemporal L,Superior Temporal L,superiortemporalL,LT,290,0.549019608,0.862745098,0.862745098,-54.51250583,-11.89920402,-3.813715533,STG L,superiortemporal L,AUD,STGL
superiortemporal R,Superior Temporal R,superiortemporalR,RT,257,0.549019608,0.862745098,0.862745098,53.98252527,-6.190982579,-6.688615957,STG R,superiortemporal R,AUD,STGR
supramarginal L,Supramarginal L,supramarginalL,LP,305,0.31372549,0.62745098,0.078431373,-56.66352514,-38.09858793,33.75862257,SMAR L,supramarginal L,SAN,SMARL
supramarginal R,Supramarginal R,supramarginalR,RP,302,0.31372549,0.62745098,0.078431373,54.33346345,-31.34703856,35.58888735,SMAR R,supramarginal R,SAN,SMARR
temporalpole L,Temporal Pole L,temporalpoleL,LT,38,0.274509804,0.078431373,0.666666667,-28.14030666,13.92830144,-38.00805803,TP L,temporalpole L,other,TPL
temporalpole R,Temporal Pole R,temporalpoleR,RT,38,0.274509804,0.078431373,0.666666667,26.54218922,16.20180624,-36.10298484,TP R,temporalpole R,other,TPR
transversetemporal L,Transverse Temporal L,transversetemporalL,LT,34,0.588235294,0.588235294,0.784313725,-45.70413609,-22.56326845,9.949553096,TT L,transversetemporal L,other,TTL
transversetemporal R,Transverse Temporal R,transversetemporalR,RT,23,0.588235294,0.588235294,0.784313725,46.06444973,-16.85315475,9.449802208,TT R,transversetemporal R,other,TTR
